C:\Users\emilbp\PhD\Projects\graphene-production\data\derived_data\xps\20170920_Gr-NH2_for_Radisurf\GrNH2.vms
Survey/2
	Characteristic Energy eV	1486.69	Acquisition Time s	0.2
KE_Survey/2	BE_Survey/2	CPS_Survey/2	Background_Survey/2
552.206	934.484	40570	40570
552.706	933.984	41445	41445
553.206	933.484	41150	41150
553.706	932.984	41015	41015
554.206	932.484	40650	40650
554.706	931.984	41905	41905
555.206	931.484	41580	41580
555.706	930.984	41185	41185
556.206	930.484	41975	41975
556.706	929.984	41070	41070
557.206	929.484	41050	41050
557.706	928.984	41575	41575
558.206	928.484	41415	41415
558.706	927.984	41170	41170
559.206	927.484	41420	41420
559.706	926.984	41505	41505
560.206	926.484	40925	40925
560.706	925.984	41160	41160
561.206	925.484	40885	40885
561.706	924.984	41305	41305
562.206	924.484	40915	40915
562.706	923.984	41760	41760
563.206	923.484	40985	40985
563.706	922.984	41670	41670
564.206	922.484	41520	41520
564.706	921.984	41920	41920
565.206	921.484	42295	42295
565.706	920.984	41185	41185
566.206	920.484	42090	42090
566.706	919.984	42525	42525
567.206	919.484	42610	42610
567.706	918.984	42150	42150
568.206	918.484	42495	42495
568.706	917.984	42200	42200
569.206	917.484	41445	41445
569.706	916.984	41385	41385
570.206	916.484	42225	42225
570.706	915.984	42300	42300
571.206	915.484	42085	42085
571.706	914.984	41875	41875
572.206	914.484	42045	42045
572.706	913.984	42490	42490
573.206	913.484	42225	42225
573.706	912.984	42235	42235
574.206	912.484	42100	42100
574.706	911.984	42115	42115
575.206	911.484	42115	42115
575.706	910.984	42355	42355
576.206	910.484	42460	42460
576.706	909.984	42080	42080
577.206	909.484	42590	42590
577.706	908.984	42175	42175
578.206	908.484	42575	42575
578.706	907.984	42330	42330
579.206	907.484	41500	41500
579.706	906.984	42515	42515
580.206	906.484	42915	42915
580.706	905.984	41195	41195
581.206	905.484	42500	42500
581.706	904.984	41975	41975
